,CHEMBL4578881,CHEMBL1972346,CHEMBL1993877,CHEMBL3361254,CHEMBL2103840,CHEMBL4791276,P076-1220,P076-1448,CHEMBL296468,CHEMBL3948055,M628-0340,G887-0711,L483-0192,T479-0984,CHEMBL4170388,CHEMBL4635162,CHEMBL1977138,CHEMBL3797571,CHEMBL1986899,CHEMBL1997892,CHEMBL242865,CHEMBL1973359,CHEMBL1983980,CHEMBL4074204,CHEMBL1986177,CHEMBL1992042,CHEMBL388978,CHEMBL1972355,CHEMBL1970352,CHEMBL2004025,CHEMBL1991734,CHEMBL1976936,CHEMBL1995211,CHEMBL4104223,CHEMBL1970340,CHEMBL1977749
CHEMBL4578881,1.0,0.01639344262295082,0.07042253521126761,0.07692307692307693,0.08163265306122448,0.04938271604938271,0.0875,0.07692307692307693,0.0963855421686747,0.1,0.1038961038961039,0.08695652173913043,0.10752688172043011,0.10588235294117647,0.06818181818181818,0.04854368932038835,0.07954545454545454,0.10112359550561797,0.05555555555555555,0.06896551724137931,0.036585365853658534,0.05128205128205128,0.09183673469387756,0.07228915662650602,0.031578947368421054,0.042105263157894736,0.07368421052631578,0.07228915662650602,0.0625,0.024691358024691357,0.0625,0.06976744186046512,0.056338028169014086,0.09090909090909091,0.028169014084507043,0.012658227848101266
CHEMBL1972346,0.01639344262295082,1.0,0.03571428571428571,0.05263157894736842,0.060240963855421686,0.08064516129032258,0.078125,0.08196721311475409,0.057971014492753624,0.06060606060606061,0.08064516129032258,0.06493506493506493,0.0759493670886076,0.07042253521126761,0.07042253521126761,0.058823529411764705,0.0547945205479452,0.05263157894736842,0.05454545454545454,0.07142857142857142,0.06349206349206349,0.06666666666666667,0.047058823529411764,0.07575757575757576,0.06666666666666667,0.06578947368421052,0.05,0.12698412698412698,0.13559322033898305,0.1206896551724138,0.08695652173913043,0.07246376811594203,0.05555555555555555,0.08196721311475409,0.14583333333333334,0.10714285714285714
CHEMBL1993877,0.07042253521126761,0.03571428571428571,1.0,0.16049382716049382,0.12087912087912088,0.06578947368421052,0.07792207792207792,0.1111111111111111,0.10126582278481013,0.13513513513513514,0.15714285714285714,0.14285714285714285,0.125,0.0975609756097561,0.1111111111111111,0.08333333333333333,0.07058823529411765,0.056179775280898875,0.058823529411764705,0.03488372093023256,0.06578947368421052,0.09859154929577464,0.05102040816326531,0.08974358974358974,0.06818181818181818,0.04395604395604396,0.06521739130434782,0.0625,0.05194805194805195,0.039473684210526314,0.10344827586206896,0.11392405063291139,0.12698412698412698,0.1111111111111111,0.11290322580645161,0.02702702702702703
CHEMBL3361254,0.07692307692307693,0.05263157894736842,0.16049382716049382,1.0,0.13761467889908258,0.11956521739130435,0.11702127659574468,0.13333333333333333,0.1595744680851064,0.13978494623655913,0.15730337078651685,0.2553191489361702,0.1308411214953271,0.16666666666666666,0.08737864077669903,0.08620689655172414,0.0660377358490566,0.10476190476190476,0.06818181818181818,0.0673076923076923,0.08421052631578947,0.1111111111111111,0.11607142857142858,0.15053763440860216,0.10476190476190476,0.08333333333333333,0.09090909090909091,0.09183673469387756,0.09574468085106383,0.08602150537634409,0.06172839506172839,0.0784313725490196,0.09411764705882353,0.10869565217391304,0.08333333333333333,0.053763440860215055
CHEMBL2103840,0.08163265306122448,0.060240963855421686,0.12087912087912088,0.13761467889908258,1.0,0.1326530612244898,0.15306122448979592,0.1702127659574468,0.125,0.15151515151515152,0.15625,0.17757009345794392,0.13157894736842105,0.14285714285714285,0.1111111111111111,0.09836065573770492,0.12037037037037036,0.11711711711711711,0.13333333333333333,0.10185185185185185,0.11,0.10204081632653061,0.1271186440677966,0.07476635514018691,0.11711711711711711,0.09649122807017543,0.11304347826086956,0.11650485436893204,0.11,0.12371134020618557,0.10588235294117647,0.14563106796116504,0.10989010989010989,0.13402061855670103,0.08791208791208792,0.08163265306122448
CHEMBL4791276,0.04938271604938271,0.08064516129032258,0.06578947368421052,0.11956521739130435,0.1326530612244898,1.0,0.22666666666666666,0.2191780821917808,0.12941176470588237,0.12048192771084337,0.125,0.16666666666666666,0.1134020618556701,0.1511627906976744,0.125,0.16494845360824742,0.1111111111111111,0.14444444444444443,0.0945945945945946,0.10112359550561797,0.125,0.16,0.12,0.13253012048192772,0.09574468085106383,0.07216494845360824,0.10309278350515463,0.11904761904761904,0.13924050632911392,0.14285714285714285,0.10606060606060606,0.11494252873563218,0.0958904109589041,0.12658227848101267,0.13043478260869565,0.08974358974358974
P076-1220,0.0875,0.078125,0.07792207792207792,0.11702127659574468,0.15306122448979592,0.22666666666666666,1.0,0.5423728813559322,0.11363636363636363,0.23376623376623376,0.21052631578947367,0.25882352941176473,0.14583333333333334,0.20238095238095238,0.09782608695652174,0.10576923076923077,0.0851063829787234,0.1797752808988764,0.09210526315789473,0.16279069767441862,0.09523809523809523,0.1125,0.14,0.09090909090909091,0.14130434782608695,0.08163265306122448,0.09,0.09090909090909091,0.16455696202531644,0.1111111111111111,0.08695652173913043,0.125,0.07894736842105263,0.12345679012345678,0.0958904109589041,0.0875
P076-1448,0.07692307692307693,0.08196721311475409,0.1111111111111111,0.13333333333333333,0.1702127659574468,0.2191780821917808,0.5423728813559322,1.0,0.14457831325301204,0.19480519480519481,0.3283582089552239,0.19540229885057472,0.15053763440860216,0.18072289156626506,0.13953488372093023,0.13131313131313133,0.08791208791208792,0.1590909090909091,0.0958904109589041,0.11494252873563218,0.09876543209876543,0.11688311688311688,0.1326530612244898,0.10714285714285714,0.10869565217391304,0.09574468085106383,0.09278350515463918,0.09411764705882353,0.14102564102564102,0.11538461538461539,0.125,0.14285714285714285,0.09722222222222222,0.1282051282051282,0.1,0.09090909090909091
CHEMBL296468,0.0963855421686747,0.057971014492753624,0.10126582278481013,0.1595744680851064,0.125,0.12941176470588237,0.11363636363636363,0.14457831325301204,1.0,0.1511627906976744,0.1566265060240964,0.1935483870967742,0.2,0.15384615384615385,0.11702127659574468,0.11214953271028037,0.09278350515463918,0.11224489795918367,0.11538461538461539,0.14285714285714285,0.09090909090909091,0.09411764705882353,0.1346153846153846,0.12359550561797752,0.13541666666666666,0.12244897959183673,0.08653846153846154,0.1111111111111111,0.09090909090909091,0.11904761904761904,0.06756756756756757,0.13186813186813187,0.11688311688311688,0.15853658536585366,0.07692307692307693,0.08333333333333333
CHEMBL3948055,0.1,0.06060606060606061,0.13513513513513514,0.13978494623655913,0.15151515151515152,0.12048192771084337,0.23376623376623376,0.19480519480519481,0.1511627906976744,1.0,0.24,0.18681318681318682,0.18085106382978725,0.18604651162790697,0.10869565217391304,0.1262135922330097,0.09574468085106383,0.1276595744680851,0.10526315789473684,0.14772727272727273,0.10714285714285714,0.13924050632911392,0.10576923076923077,0.11494252873563218,0.1276595744680851,0.12631578947368421,0.1,0.10227272727272728,0.12048192771084337,0.12345679012345678,0.13432835820895522,0.16279069767441862,0.09210526315789473,0.15,0.08,0.07317073170731707
M628-0340,0.1038961038961039,0.08064516129032258,0.15714285714285714,0.15730337078651685,0.15625,0.125,0.21052631578947367,0.3283582089552239,0.1566265060240964,0.24,1.0,0.3125,0.2413793103448276,0.2375,0.125,0.0970873786407767,0.1111111111111111,0.11956521739130435,0.08,0.11363636363636363,0.0975609756097561,0.12987012987012986,0.13131313131313133,0.11904761904761904,0.15730337078651685,0.14285714285714285,0.09183673469387756,0.10588235294117647,0.125,0.14285714285714285,0.10606060606060606,0.1686746987951807,0.1267605633802817,0.14102564102564102,0.08333333333333333,0.0759493670886076
G887-0711,0.08695652173913043,0.06493506493506493,0.14285714285714285,0.2553191489361702,0.17757009345794392,0.16666666666666666,0.25882352941176473,0.19540229885057472,0.1935483870967742,0.18681318681318682,0.3125,1.0,0.20588235294117646,0.2127659574468085,0.10679611650485436,0.12280701754385964,0.10576923076923077,0.1346153846153846,0.1566265060240964,0.10784313725490197,0.08247422680412371,0.0967741935483871,0.12389380530973451,0.12371134020618557,0.12380952380952381,0.14423076923076922,0.08928571428571429,0.09,0.16666666666666666,0.13186813186813187,0.08641975308641975,0.13131313131313133,0.10465116279069768,0.14285714285714285,0.08139534883720931,0.08695652173913043
L483-0192,0.10752688172043011,0.0759493670886076,0.125,0.1308411214953271,0.13157894736842105,0.1134020618556701,0.14583333333333334,0.15053763440860216,0.2,0.18085106382978725,0.2413793103448276,0.20588235294117646,1.0,0.24468085106382978,0.10377358490566038,0.11965811965811966,0.20408163265306123,0.1523809523809524,0.1511627906976744,0.1717171717171717,0.1134020618556701,0.08247422680412371,0.1504424778761062,0.15463917525773196,0.14150943396226415,0.1619047619047619,0.11607142857142858,0.13131313131313133,0.14893617021276595,0.15217391304347827,0.08333333333333333,0.11650485436893204,0.08888888888888889,0.10309278350515463,0.06666666666666667,0.07291666666666667
T479-0984,0.10588235294117647,0.07042253521126761,0.0975609756097561,0.16666666666666666,0.14285714285714285,0.1511627906976744,0.20238095238095238,0.18072289156626506,0.15384615384615385,0.18604651162790697,0.2375,0.2127659574468085,0.24468085106382978,1.0,0.09090909090909091,0.10909090909090909,0.11224489795918367,0.14285714285714285,0.13924050632911392,0.16304347826086957,0.125,0.11627906976744186,0.1308411214953271,0.10752688172043011,0.17894736842105263,0.1188118811881188,0.09433962264150944,0.10752688172043011,0.13793103448275862,0.15476190476190477,0.09333333333333334,0.09278350515463918,0.1125,0.15294117647058825,0.10126582278481013,0.06818181818181818
CHEMBL4170388,0.06818181818181818,0.07042253521126761,0.1111111111111111,0.08737864077669903,0.1111111111111111,0.125,0.09782608695652174,0.13953488372093023,0.11702127659574468,0.10869565217391304,0.125,0.10679611650485436,0.10377358490566038,0.09090909090909091,1.0,0.14018691588785046,0.06862745098039216,0.13131313131313133,0.0975609756097561,0.12631578947368421,0.06451612903225806,0.06666666666666667,0.09009009009009009,0.09574468085106383,0.05660377358490566,0.13,0.09433962264150944,0.09574468085106383,0.07608695652173914,0.07777777777777778,0.1388888888888889,0.15217391304347827,0.1125,0.11363636363636363,0.12987012987012986,0.08045977011494253
CHEMBL4635162,0.04854368932038835,0.058823529411764705,0.08333333333333333,0.08620689655172414,0.09836065573770492,0.16494845360824742,0.10576923076923077,0.13131313131313133,0.11214953271028037,0.1262135922330097,0.0970873786407767,0.12280701754385964,0.11965811965811966,0.10909090909090909,0.14018691588785046,1.0,0.07894736842105263,0.11504424778761062,0.07216494845360824,0.06140350877192982,0.08653846153846154,0.0784313725490196,0.06299212598425197,0.09345794392523364,0.058823529411764705,0.09482758620689655,0.09243697478991597,0.08333333333333333,0.056074766355140186,0.05714285714285714,0.07865168539325842,0.12149532710280374,0.061855670103092786,0.13131313131313133,0.08602150537634409,0.06930693069306931
CHEMBL1977138,0.07954545454545454,0.0547945205479452,0.07058823529411765,0.0660377358490566,0.12037037037037036,0.1111111111111111,0.0851063829787234,0.08791208791208792,0.09278350515463918,0.09574468085106383,0.1111111111111111,0.10576923076923077,0.20408163265306123,0.11224489795918367,0.06862745098039216,0.07894736842105263,1.0,0.13,0.12345679012345678,0.1134020618556701,0.1111111111111111,0.06593406593406594,0.08928571428571429,0.08333333333333333,0.0970873786407767,0.09615384615384616,0.09345794392523364,0.10638297872340426,0.0989010989010989,0.08888888888888889,0.10666666666666667,0.10309278350515463,0.1111111111111111,0.125,0.07317073170731707,0.06741573033707865
CHEMBL3797571,0.10112359550561797,0.05263157894736842,0.056179775280898875,0.10476190476190476,0.11711711711711711,0.14444444444444443,0.1797752808988764,0.1590909090909091,0.11224489795918367,0.1276595744680851,0.11956521739130435,0.1346153846153846,0.1523809523809524,0.14285714285714285,0.13131313131313133,0.11504424778761062,0.13,1.0,0.11904761904761904,0.15625,0.07291666666666667,0.06382978723404255,0.10619469026548672,0.08080808080808081,0.09433962264150944,0.07339449541284404,0.10091743119266056,0.10309278350515463,0.07291666666666667,0.07446808510638298,0.13157894736842105,0.1111111111111111,0.09411764705882353,0.13333333333333333,0.0963855421686747,0.053763440860215055
CHEMBL1986899,0.05555555555555555,0.05454545454545454,0.058823529411764705,0.06818181818181818,0.13333333333333333,0.0945945945945946,0.09210526315789473,0.0958904109589041,0.11538461538461539,0.10526315789473684,0.08,0.1566265060240964,0.1511627906976744,0.13924050632911392,0.0975609756097561,0.07216494845360824,0.12345679012345678,0.11904761904761904,1.0,0.15584415584415584,0.1095890410958904,0.09859154929577464,0.13186813186813187,0.08974358974358974,0.10588235294117647,0.11764705882352941,0.053763440860215055,0.0759493670886076,0.0945945945945946,0.14492753623188406,0.0847457627118644,0.08641975308641975,0.12698412698412698,0.0958904109589041,0.078125,0.08571428571428572
CHEMBL1997892,0.06896551724137931,0.07142857142857142,0.03488372093023256,0.0673076923076923,0.10185185185185185,0.10112359550561797,0.16279069767441862,0.11494252873563218,0.14285714285714285,0.14772727272727273,0.11363636363636363,0.10784313725490197,0.1717171717171717,0.16304347826086957,0.12631578947368421,0.06140350877192982,0.1134020618556701,0.15625,0.15584415584415584,1.0,0.10112359550561797,0.09195402298850575,0.10091743119266056,0.0851063829787234,0.15625,0.14285714285714285,0.07476635514018691,0.12087912087912088,0.10112359550561797,0.10344827586206896,0.0945945945945946,0.10526315789473684,0.11392405063291139,0.0898876404494382,0.08860759493670886,0.06896551724137931
CHEMBL242865,0.036585365853658534,0.06349206349206349,0.06578947368421052,0.08421052631578947,0.11,0.125,0.09523809523809523,0.09876543209876543,0.09090909090909091,0.10714285714285714,0.0975609756097561,0.08247422680412371,0.1134020618556701,0.125,0.06451612903225806,0.08653846153846154,0.1111111111111111,0.07291666666666667,0.1095890410958904,0.10112359550561797,1.0,0.17567567567567569,0.16666666666666666,0.09302325581395349,0.13186813186813187,0.11827956989247312,0.10309278350515463,0.10588235294117647,0.1111111111111111,0.15789473684210525,0.08955223880597014,0.1411764705882353,0.1267605633802817,0.09876543209876543,0.08333333333333333,0.08974358974358974
CHEMBL1973359,0.05128205128205128,0.06666666666666667,0.09859154929577464,0.1111111111111111,0.10204081632653061,0.16,0.1125,0.11688311688311688,0.09411764705882353,0.13924050632911392,0.12987012987012986,0.0967741935483871,0.08247422680412371,0.11627906976744186,0.06666666666666667,0.0784313725490196,0.06593406593406594,0.06382978723404255,0.09859154929577464,0.09195402298850575,0.17567567567567569,1.0,0.10101010101010101,0.12345679012345678,0.08695652173913043,0.09782608695652174,0.061224489795918366,0.10975609756097561,0.0875,0.0759493670886076,0.07692307692307693,0.08045977011494253,0.08450704225352113,0.11688311688311688,0.11940298507462686,0.09333333333333334
CHEMBL1983980,0.09183673469387756,0.047058823529411764,0.05102040816326531,0.11607142857142858,0.1271186440677966,0.12,0.14,0.1326530612244898,0.1346153846153846,0.10576923076923077,0.13131313131313133,0.12389380530973451,0.1504424778761062,0.1308411214953271,0.09009009009009009,0.06299212598425197,0.08928571428571429,0.10619469026548672,0.13186813186813187,0.10091743119266056,0.16666666666666666,0.10101010101010101,1.0,0.13725490196078433,0.14678899082568808,0.125,0.11206896551724138,0.10476190476190476,0.10891089108910891,0.1111111111111111,0.07954545454545454,0.08181818181818182,0.10869565217391304,0.11,0.08695652173913043,0.10309278350515463
CHEMBL4074204,0.07228915662650602,0.07575757575757576,0.08974358974358974,0.15053763440860216,0.07476635514018691,0.13253012048192772,0.09090909090909091,0.10714285714285714,0.12359550561797752,0.11494252873563218,0.11904761904761904,0.12371134020618557,0.15463917525773196,0.10752688172043011,0.09574468085106383,0.09345794392523364,0.08333333333333333,0.08080808080808081,0.08974358974358974,0.0851063829787234,0.09302325581395349,0.12345679012345678,0.13725490196078433,1.0,0.09183673469387756,0.08,0.08823529411764706,0.10112359550561797,0.08045977011494253,0.10843373493975904,0.06944444444444445,0.09782608695652174,0.09090909090909091,0.12048192771084337,0.10810810810810811,0.047058823529411764
CHEMBL1986177,0.031578947368421054,0.06666666666666667,0.06818181818181818,0.10476190476190476,0.11711711711711711,0.09574468085106383,0.14130434782608695,0.10869565217391304,0.13541666666666666,0.1276595744680851,0.15730337078651685,0.12380952380952381,0.14150943396226415,0.17894736842105263,0.05660377358490566,0.058823529411764705,0.0970873786407767,0.09433962264150944,0.10588235294117647,0.15625,0.13186813186813187,0.08695652173913043,0.14678899082568808,0.09183673469387756,1.0,0.15841584158415842,0.05263157894736842,0.12631578947368421,0.09574468085106383,0.14772727272727273,0.06172839506172839,0.12244897959183673,0.14814814814814814,0.10869565217391304,0.10975609756097561,0.08888888888888889
CHEMBL1992042,0.042105263157894736,0.06578947368421052,0.04395604395604396,0.08333333333333333,0.09649122807017543,0.07216494845360824,0.08163265306122448,0.09574468085106383,0.12244897959183673,0.12631578947368421,0.14285714285714285,0.14423076923076922,0.1619047619047619,0.1188118811881188,0.13,0.09482758620689655,0.09615384615384616,0.07339449541284404,0.11764705882352941,0.14285714285714285,0.11827956989247312,0.09782608695652174,0.125,0.08,0.15841584158415842,1.0,0.12037037037037036,0.10204081632653061,0.13043478260869565,0.13333333333333333,0.11538461538461539,0.14432989690721648,0.08045977011494253,0.10752688172043011,0.09523809523809523,0.125
CHEMBL388978,0.07368421052631578,0.05,0.06521739130434782,0.09090909090909091,0.11304347826086956,0.10309278350515463,0.09,0.09278350515463918,0.08653846153846154,0.1,0.09183673469387756,0.08928571428571429,0.11607142857142858,0.09433962264150944,0.09433962264150944,0.09243697478991597,0.09345794392523364,0.10091743119266056,0.053763440860215055,0.07476635514018691,0.10309278350515463,0.061224489795918366,0.11206896551724138,0.08823529411764706,0.05263157894736842,0.12037037037037036,1.0,0.14432989690721648,0.12631578947368421,0.11702127659574468,0.0975609756097561,0.11764705882352941,0.10227272727272728,0.1276595744680851,0.06741573033707865,0.0967741935483871
CHEMBL1972355,0.07228915662650602,0.12698412698412698,0.0625,0.09183673469387756,0.11650485436893204,0.11904761904761904,0.09090909090909091,0.09411764705882353,0.1111111111111111,0.10227272727272728,0.10588235294117647,0.09,0.13131313131313133,0.10752688172043011,0.09574468085106383,0.08333333333333333,0.10638297872340426,0.10309278350515463,0.0759493670886076,0.12087912087912088,0.10588235294117647,0.10975609756097561,0.10476190476190476,0.10112359550561797,0.12631578947368421,0.10204081632653061,0.14432989690721648,1.0,0.16049382716049382,0.13580246913580246,0.1,0.09782608695652174,0.12,0.10714285714285714,0.15492957746478872,0.12658227848101267
CHEMBL1970352,0.0625,0.13559322033898305,0.05194805194805195,0.09574468085106383,0.11,0.13924050632911392,0.16455696202531644,0.14102564102564102,0.09090909090909091,0.12048192771084337,0.125,0.16666666666666666,0.14893617021276595,0.13793103448275862,0.07608695652173914,0.056074766355140186,0.0989010989010989,0.07291666666666667,0.0945945945945946,0.10112359550561797,0.1111111111111111,0.0875,0.10891089108910891,0.08045977011494253,0.09574468085106383,0.13043478260869565,0.12631578947368421,0.16049382716049382,1.0,0.17333333333333334,0.12307692307692308,0.0898876404494382,0.08108108108108109,0.08536585365853659,0.13043478260869565,0.13333333333333333
CHEMBL2004025,0.024691358024691357,0.1206896551724138,0.039473684210526314,0.08602150537634409,0.12371134020618557,0.14285714285714285,0.1111111111111111,0.11538461538461539,0.11904761904761904,0.12345679012345678,0.14285714285714285,0.13186813186813187,0.15217391304347827,0.15476190476190477,0.07777777777777778,0.05714285714285714,0.08888888888888889,0.07446808510638298,0.14492753623188406,0.10344827586206896,0.15789473684210525,0.0759493670886076,0.1111111111111111,0.10843373493975904,0.14772727272727273,0.13333333333333333,0.11702127659574468,0.13580246913580246,0.17333333333333334,1.0,0.09230769230769231,0.10465116279069768,0.11428571428571428,0.11538461538461539,0.13432835820895522,0.12162162162162163
CHEMBL1991734,0.0625,0.08695652173913043,0.10344827586206896,0.06172839506172839,0.10588235294117647,0.10606060606060606,0.08695652173913043,0.125,0.06756756756756757,0.13432835820895522,0.10606060606060606,0.08641975308641975,0.08333333333333333,0.09333333333333334,0.1388888888888889,0.07865168539325842,0.10666666666666667,0.13157894736842105,0.0847457627118644,0.0945945945945946,0.08955223880597014,0.07692307692307693,0.07954545454545454,0.06944444444444445,0.06172839506172839,0.11538461538461539,0.0975609756097561,0.1,0.12307692307692308,0.09230769230769231,1.0,0.08108108108108109,0.14545454545454545,0.09090909090909091,0.12962962962962962,0.11475409836065574
CHEMBL1976936,0.06976744186046512,0.07246376811594203,0.11392405063291139,0.0784313725490196,0.14563106796116504,0.11494252873563218,0.125,0.14285714285714285,0.13186813186813187,0.16279069767441862,0.1686746987951807,0.13131313131313133,0.11650485436893204,0.09278350515463918,0.15217391304347827,0.12149532710280374,0.10309278350515463,0.1111111111111111,0.08641975308641975,0.10526315789473684,0.1411764705882353,0.08045977011494253,0.08181818181818182,0.09782608695652174,0.12244897959183673,0.14432989690721648,0.11764705882352941,0.09782608695652174,0.0898876404494382,0.10465116279069768,0.08108108108108109,1.0,0.17567567567567569,0.1566265060240964,0.1038961038961039,0.09523809523809523
CHEMBL1995211,0.056338028169014086,0.05555555555555555,0.12698412698412698,0.09411764705882353,0.10989010989010989,0.0958904109589041,0.07894736842105263,0.09722222222222222,0.11688311688311688,0.09210526315789473,0.1267605633802817,0.10465116279069768,0.08888888888888889,0.1125,0.1125,0.061855670103092786,0.1111111111111111,0.09411764705882353,0.12698412698412698,0.11392405063291139,0.1267605633802817,0.08450704225352113,0.10869565217391304,0.09090909090909091,0.14814814814814814,0.08045977011494253,0.10227272727272728,0.12,0.08108108108108109,0.11428571428571428,0.14545454545454545,0.17567567567567569,1.0,0.12857142857142856,0.1724137931034483,0.11940298507462686
CHEMBL4104223,0.09090909090909091,0.08196721311475409,0.1111111111111111,0.10869565217391304,0.13402061855670103,0.12658227848101267,0.12345679012345678,0.1282051282051282,0.15853658536585366,0.15,0.14102564102564102,0.14285714285714285,0.10309278350515463,0.15294117647058825,0.11363636363636363,0.13131313131313133,0.125,0.13333333333333333,0.0958904109589041,0.0898876404494382,0.09876543209876543,0.11688311688311688,0.11,0.12048192771084337,0.10869565217391304,0.10752688172043011,0.1276595744680851,0.10714285714285714,0.08536585365853659,0.11538461538461539,0.09090909090909091,0.1566265060240964,0.12857142857142856,1.0,0.16666666666666666,0.16666666666666666
CHEMBL1970340,0.028169014084507043,0.14583333333333334,0.11290322580645161,0.08333333333333333,0.08791208791208792,0.13043478260869565,0.0958904109589041,0.1,0.07692307692307693,0.08,0.08333333333333333,0.08139534883720931,0.06666666666666667,0.10126582278481013,0.12987012987012986,0.08602150537634409,0.07317073170731707,0.0963855421686747,0.078125,0.08860759493670886,0.08333333333333333,0.11940298507462686,0.08695652173913043,0.10810810810810811,0.10975609756097561,0.09523809523809523,0.06741573033707865,0.15492957746478872,0.13043478260869565,0.13432835820895522,0.12962962962962962,0.1038961038961039,0.1724137931034483,0.16666666666666666,1.0,0.15873015873015872
CHEMBL1977749,0.012658227848101266,0.10714285714285714,0.02702702702702703,0.053763440860215055,0.08163265306122448,0.08974358974358974,0.0875,0.09090909090909091,0.08333333333333333,0.07317073170731707,0.0759493670886076,0.08695652173913043,0.07291666666666667,0.06818181818181818,0.08045977011494253,0.06930693069306931,0.06741573033707865,0.053763440860215055,0.08571428571428572,0.06896551724137931,0.08974358974358974,0.09333333333333334,0.10309278350515463,0.047058823529411764,0.08888888888888889,0.125,0.0967741935483871,0.12658227848101267,0.13333333333333333,0.12162162162162163,0.11475409836065574,0.09523809523809523,0.11940298507462686,0.16666666666666666,0.15873015873015872,1.0
